Vejnavn, Købesum, Dato, Type, kr/m², Rum, Postnr, Boligtype, m², Bygget, %
Tromsøgade 7B, 3.422.500, 12-05-2015, Alm. Salg, 26.326, 5, 8200, Villa, 130, 1937, -4 %
Kalkjærvej 4, 2.951.000, 12-05-2015, Alm. Salg, 24.591, 5, 8270, Villa, 120, 1915, 6 %
Vestergårdsvangen 129, 4.270.000, 12-05-2015, Alm. Salg, 22.956, 7, 8260, Villa, 186, 2012, -3 %
Jeppe Aakjærs Vej 47, 1.059.000, 08-05-2015, Alm. Salg, 10.485, 4, 8230, Villa, 101, 1926
Mølleskovvej 2A, 2.075.000, 07-05-2015, Fam. Salg, 8.982, 9, 8270, Villa, 231, 1971
Engelundsvej 63, 3.800.000, 05-05-2015, Alm. Salg, 21.111, 6, 8260, Villa, 180, 2008
Løvenholms Alle 4, 1.953.550, 29-04-2015, Andet, 8.839, 7, 8260, Villa, 221, 1966
Flakvej 23, 4.950.000, 28-04-2015, Fam. Salg, 45.000, 4, 8240, Villa, 110, 1926
Jelshøjvænget 3, 1.975.000, 22-04-2015, Alm. Salg, 28.214, 3, 8270, Villa, 70, 1877, -10 %
Ryslingevej 23, 400.516, 21-04-2015, Andet, 3.926, 4, 8270, Villa, 102, 1960, -86 %
Kanehaven 45, 4.270.000, 20-04-2015, Alm. Salg, 22.592, 6, 8240, Villa, 189, 1973, -5 %
Solvejen 2, 2.550.000, 15-04-2015, Alm. Salg, 18.214, 4, 8250, Villa, 140, 1962
Klokkerfaldet 79, 3.300.000, 15-04-2015, Alm. Salg, 18.965, 7, 8210, Villa, 174, 1969
Timianvej 6, 1.376.008, 14-04-2015, Alm. Salg, 8.441, 5, 8240, Villa, 163, 1950
Saralystvej 10, 4.300.000, 13-04-2015, Alm. Salg, 37.391, 4, 8270, Villa, 115, 1952, -4 %
Skæring Højsagervej 20, 3.700.000, 12-04-2015, Alm. Salg, 28.461, 5, 8250, Villa, 130, 1969, -12 %
Avnbøgevej 6, 2.298.000, 11-04-2015, Alm. Salg, 16.652, 3, 8220, Villa, 138, 1959, 0 %
Rosenvangs Alle 39, 1.750.000, 10-04-2015, Fam. Salg, 13.671, 4, 8260, Villa, 128, 1904
Hannesvej 5, 1.970.000, 10-04-2015, Alm. Salg, 17.130, 5, 8220, Villa, 115, 1958, 0 %
Ildervej 16, 6.750.000, 07-04-2015, Alm. Salg, 34.263, 5, 8270, Villa, 197, 1982
Herredsvej 38, 2.450.000, 06-04-2015, Alm. Salg, 24.257, 6, 8210, Villa, 101, 1953, -2 %
Skovagervej 16A, 7.000.000, 03-04-2015, Alm. Salg, 34.653, 6, 8240, Villa, 202, 2009, -3 %
Rouloen 4, 3.350.000, 01-04-2015, Alm. Salg, 24.275, 5, 8250, Villa, 138, 1970, 0 %
Sintrupvej 1, 2.575.000, 01-04-2015, Alm. Salg, 19.807, 4, 8220, Villa, 130, 1972
Holmevangen 20, 3.900.000, 01-04-2015, Alm. Salg, 20.526, 6, 8270, Villa, 190, 1957, -2 %
Blåmunkevej 30, 4.100.000, 31-03-2015, Alm. Salg, 24.117, 5, 8240, Villa, 170, 1980, -5 %
L.P.Bechs Vej 16A, 5.800.000, 31-03-2015, Alm. Salg, 33.142, 5, 8240, Villa, 175, 1935, -3 %
Visbygade 14, 2.595.000, 30-03-2015, Alm. Salg, 37.608, 3, 8200, Villa, 69, 1953
Ryvangs Alle 4, 5.830.000, 30-03-2015, Alm. Salg, 32.388, 5, 8240, Villa, 180, 1984
Rolsøvej 22, 4.400.000, 29-03-2015, Fam. Salg, 19.130, 8, 8240, Villa, 230, 1961, -9 %
Sophus Bauditz Vej 43, 4.100.000, 27-03-2015, Alm. Salg, 21.578, 7, 8230, Villa, 190, 1968, -2 %
Holmetoften 51, 3.500.000, 26-03-2015, Alm. Salg, 23.489, 4, 8270, Villa, 149, 1972, -2 %
P.Mønsteds Alle 30, 3.400.000, 26-03-2015, Alm. Salg, 23.611, 3, 8270, Villa, 144, 1948, -11 %
Fuglesangs Alle 27, 2.925.000, 25-03-2015, Alm. Salg, 38.486, 3, 8210, Villa, 76, 1930, -2 %
Geysergade 4, 3.800.000, 25-03-2015, Alm. Salg, 28.571, 6, 8200, Villa, 133, 1945, -5 %
Syrenvej 1, 4.100.000, 25-03-2015, Alm. Salg, 24.260, 5, 8240, Villa, 169, 1898, -9 %
Bynkevej 10, 2.375.000, 24-03-2015, Alm. Salg, 16.964, 4, 8240, Villa, 140, 1980, -10 %
Nattergalevej 3, 1.530.000, 23-03-2015, Fam. Salg, 15.937, 3, 8210, Villa, 96, 1962
Søsterhøjvænget 5, 4.000.000, 23-03-2015, Alm. Salg, 28.169, 5, 8270, Villa, 142, 1995, -5 %
Birkegade 3, 525.000, 22-03-2015, Alm. Salg, 3.977, 3, 8200, Villa, 132, 1927
Laskedalen 46, 1.800.000, 20-03-2015, Andet, 9.729, 6, 8220, Villa, 185, 2006
